url,final_url,title,section,word_count,estimated_tokens,image_count,code_block_count,has_ordered_list,has_unordered_list,has_lists,http_status,last_modified,h1_count,h2_count,h3_count,h4_count,discovery_source
https://usehalo.com/guide/introduction-to-halopsa/,https://usehalo.com/guide/introduction-to-halopsa/,Introduction to HaloPSA,An Introduction to HaloPSA,2109,2847,12,0,True,True,True,200,,1,4,2,2,direct_guide
https://usehalo.com/guide/self-service-portal/,https://usehalo.com/guide/self-service-portal/,Self Service Portal,Self Service Portal,1716,2316,4,0,False,True,True,200,,1,4,6,3,direct_guide
https://usehalo.com/guide/super-ops-rmm-integration/,https://usehalo.com/guide/super-ops-rmm-integration/,Super Ops RMM Integration,Integrations,1534,2070,8,0,False,False,False,200,,1,8,2,1,direct_guide
https://usehalo.com/guide/scheduled-tickets-2/,https://usehalo.com/guide/scheduled-tickets-2/,Scheduled Tickets,Tickets,1606,2168,5,0,False,True,True,200,,1,6,8,0,direct_guide
https://usehalo.com/guide/email-general-settings/,https://usehalo.com/guide/email-general-settings/,Email (General Settings),Email Configuration,659,889,6,0,True,True,True,200,,1,1,1,0,direct_guide
https://usehalo.com/guide/azure-devops-integration/,https://usehalo.com/guide/azure-devops-integration/,Azure DevOps Integration,Integrations,1736,2343,0,0,False,True,True,200,,1,6,8,0,direct_guide
https://usehalo.com/guide/general-settings-10/,https://usehalo.com/guide/general-settings-10/,General Settings (Notifications),Configuration,687,927,0,3,False,True,True,200,,1,1,2,0,direct_guide
https://usehalo.com/guide/agents-2/,https://usehalo.com/guide/agents-2/,Agents,Configuration,891,1202,0,0,False,False,False,200,,1,3,0,0,direct_guide
https://usehalo.com/guide/azure-sentinel-webhooks/,https://usehalo.com/guide/azure-sentinel-webhooks/,Azure Sentinel Webhooks,Integrations,976,1317,6,0,False,False,False,200,,1,2,3,1,direct_guide
https://usehalo.com/guide/introduction-9/,https://usehalo.com/guide/introduction-9/,Guide Introduction,An Introduction to HaloPSA,1229,1659,5,0,True,True,True,200,,1,4,0,0,direct_guide
https://usehalo.com/guide/asset-management/,https://usehalo.com/guide/asset-management/,Asset Management,Asset Management,849,1146,0,0,False,False,False,200,,1,4,0,0,direct_guide
